frame,speed,date,time,marker,Interpolated Time
0,205,18/10/2023,16:00:15,020+106,16:00:14.510
1,205,18/10/2023,16:00:15,020+111,16:00:14.570
2,205,18/10/2023,16:00:15,020+116,16:00:14.630
3,205,18/10/2023,16:00:15,020+116,16:00:14.691
4,205,18/10/2023,16:00:15,020+121,16:00:14.751
5,205,18/10/2023,16:00:16,020+126,16:00:14.812
6,205,18/10/2023,16:00:16,020+126,16:00:14.872
7,205,18/10/2023,16:00:16,020+131,16:00:14.932
8,206,18/10/2023,16:00:16,020+136,16:00:14.993
9,206,18/10/2023,16:00:16,020+136,16:00:15.053
10,206,18/10/2023,16:00:16,020+141,16:00:15.113
11,206,18/10/2023,16:00:16,020+146,16:00:15.174
12,206,18/10/2023,16:00:16,020+146,16:00:15.234
13,206,18/10/2023,16:00:16,020+151,16:00:15.295
14,206,18/10/2023,16:00:16,020+156,16:00:15.355
15,206,18/10/2023,16:00:16,020+156,16:00:15.415
16,206,18/10/2023,16:00:16,020+161,16:00:15.476
17,206,18/10/2023,16:00:16,020+166,16:00:15.536
18,206,18/10/2023,16:00:16,020+166,16:00:15.596
19,206,18/10/2023,16:00:16,020+171,16:00:15.657
20,206,18/10/2023,16:00:16,020+176,16:00:15.717
21,206,18/10/2023,16:00:16,020+176,16:00:15.778
22,206,18/10/2023,16:00:17,020+181,16:00:15.838
23,206,18/10/2023,16:00:17,020+186,16:00:15.898
24,206,18/10/2023,16:00:17,020+186,16:00:15.959
25,206,18/10/2023,16:00:17,020+191,16:00:16.019
26,206,18/10/2023,16:00:17,020+196,16:00:16.079
27,206,18/10/2023,16:00:17,020+196,16:00:16.140
28,207,18/10/2023,16:00:17,020+201,16:00:16.200
29,207,18/10/2023,16:00:17,020+206,16:00:16.261
30,207,18/10/2023,16:00:17,020+206,16:00:16.321
31,207,18/10/2023,16:00:17,020+211,16:00:16.381
32,207,18/10/2023,16:00:17,020+216,16:00:16.442
33,207,18/10/2023,16:00:17,020+216,16:00:16.502
34,207,18/10/2023,16:00:17,020+221,16:00:16.562
35,207,18/10/2023,16:00:17,020+226,16:00:16.623
36,207,18/10/2023,16:00:17,020+226,16:00:16.683
37,207,18/10/2023,16:00:17,020+231,16:00:16.744
38,207,18/10/2023,16:00:17,020+236,16:00:16.804
39,207,18/10/2023,16:00:17,020+236,16:00:16.864
40,207,18/10/2023,16:00:18,020+241,16:00:16.925
41,207,18/10/2023,16:00:18,020+246,16:00:16.985
42,207,18/10/2023,16:00:18,020+246,16:00:17.045
43,207,18/10/2023,16:00:18,020+251,16:00:17.106
44,207,18/10/2023,16:00:18,020+256,16:00:17.166
45,207,18/10/2023,16:00:18,020+256,16:00:17.227
