Frame,Speed,Date,Time,Km marker
151,211,18/10/2023,16:00:24,020+616
152,212,18/10/2023,16:00:24,020+621
153,212,18/10/2023,16:00:24,020+621
154,212,18/10/2023,16:00:24,020+626
155,212,18/10/2023,16:00:24,020+631
156,212,18/10/2023,16:00:24,020+631
157,212,18/10/2023,16:00:24,020+636
158,212,18/10/2023,16:00:24,020+641
159,212,18/10/2023,16:00:24,020+641
160,212,18/10/2023,16:00:24,020+646
161,212,18/10/2023,16:00:25,020+651
162,212,18/10/2023,16:00:25,020+656
163,212,18/10/2023,16:00:25,020+656
164,212,18/10/2023,16:00:25,020+661
165,212,18/10/2023,16:00:25,020+666
166,212,18/10/2023,16:00:25,020+666
167,212,18/10/2023,16:00:25,020+671
168,212,18/10/2023,16:00:25,020+676
169,212,18/10/2023,16:00:25,020+676
170,212,18/10/2023,16:00:25,020+681
171,212,18/10/2023,16:00:25,020+686
172,212,18/10/2023,16:00:25,020+686
173,212,18/10/2023,16:00:25,020+691
174,212,18/10/2023,16:00:25,020+696
175,212,18/10/2023,16:00:25,020+696
176,212,18/10/2023,16:00:25,020+701
177,212,18/10/2023,16:00:26,020+706
178,212,18/10/2023,16:00:26,020+706
179,212,18/10/2023,16:00:26,020+711
180,212,18/10/2023,16:00:26,020+716
181,212,18/10/2023,16:00:26,020+716
182,212,18/10/2023,16:00:26,020+721
183,213,18/10/2023,16:00:26,020+726
184,213,18/10/2023,16:00:26,020+731
185,213,18/10/2023,16:00:26,020+731
186,213,18/10/2023,16:00:26,020+736
187,213,18/10/2023,16:00:26,020+741
188,213,18/10/2023,16:00:26,020+741
189,213,18/10/2023,16:00:26,020+746
190,213,18/10/2023,16:00:26,020+751
191,213,18/10/2023,16:00:26,020+751
192,213,18/10/2023,16:00:26,020+756
193,213,18/10/2023,16:00:26,020+761
194,213,18/10/2023,16:00:26,020+761
195,213,18/10/2023,16:00:27,020+766
196,213,18/10/2023,16:00:27,020+771
197,213,18/10/2023,16:00:27,020+771
198,213,18/10/2023,16:00:27,020+776
199,213,18/10/2023,16:00:27,020+781
200,213,18/10/2023,16:00:27,020+786
201,213,18/10/2023,16:00:27,020+786
202,213,18/10/2023,16:00:27,020+791
203,213,18/10/2023,16:00:27,020+796
204,213,18/10/2023,16:00:27,020+796
