frame,speed,date,time,marker
151,211,18/10/2023,16:00:24,020+416
152,211,18/10/2023,16:00:24,020+416
153,212,18/10/2023,16:00:24,020+421
154,212,18/10/2023,16:00:24,020+426
155,212,18/10/2023,16:00:24,020+426
156,212,18/10/2023,16:00:24,020+431
157,212,18/10/2023,16:00:24,020+436
158,212,18/10/2023,16:00:24,020+436
159,212,18/10/2023,16:00:24,020+441
160,212,18/10/2023,16:00:24,020+446
161,212,18/10/2023,16:00:24,020+446
162,212,18/10/2023,16:00:25,020+451
163,212,18/10/2023,16:00:25,020+456
164,212,18/10/2023,16:00:25,020+456
165,212,18/10/2023,16:00:25,020+461
166,212,18/10/2023,16:00:25,020+466
167,212,18/10/2023,16:00:25,020+466
168,212,18/10/2023,16:00:25,020+471
169,212,18/10/2023,16:00:25,020+476
170,212,18/10/2023,16:00:25,020+481
171,212,18/10/2023,16:00:25,020+481
172,212,18/10/2023,16:00:25,020+486
173,212,18/10/2023,16:00:25,020+491
174,212,18/10/2023,16:00:25,020+491
175,212,18/10/2023,16:00:25,020+496
176,212,18/10/2023,16:00:25,020+501
177,212,18/10/2023,16:00:25,020+501
178,212,18/10/2023,16:00:26,020+506
179,212,18/10/2023,16:00:26,020+511
180,212,18/10/2023,16:00:26,020+511
181,212,18/10/2023,16:00:26,020+516
182,212,18/10/2023,16:00:26,020+521
183,212,18/10/2023,16:00:26,020+521
184,213,18/10/2023,16:00:26,020+526
185,213,18/10/2023,16:00:26,020+531
186,213,18/10/2023,16:00:26,020+531
187,213,18/10/2023,16:00:26,020+536
188,213,18/10/2023,16:00:26,020+541
189,213,18/10/2023,16:00:26,020+546
190,213,18/10/2023,16:00:26,020+546
191,213,18/10/2023,16:00:26,020+551
192,213,18/10/2023,16:00:26,020+556
193,213,18/10/2023,16:00:26,020+556
194,213,18/10/2023,16:00:26,020+561
195,213,18/10/2023,16:00:27,020+566
196,213,18/10/2023,16:00:27,020+566
197,213,18/10/2023,16:00:27,020+571
198,213,18/10/2023,16:00:27,020+576
199,213,18/10/2023,16:00:27,020+576
200,213,18/10/2023,16:00:27,020+581
201,213,18/10/2023,16:00:27,020+586
202,213,18/10/2023,16:00:27,020+586
203,213,18/10/2023,16:00:27,020+591
204,213,18/10/2023,16:00:27,020+596
205,213,18/10/2023,16:00:27,020+596
206,213,18/10/2023,16:00:27,020+601
207,213,18/10/2023,16:00:27,020+606
208,213,18/10/2023,16:00:27,020+611
209,213,18/10/2023,16:00:27,020+611
210,213,18/10/2023,16:00:27,020+616
211,213,18/10/2023,16:00:27,020+621
212,213,18/10/2023,16:00:27,020+621
213,213,18/10/2023,16:00:28,020+626
214,213,18/10/2023,16:00:28,020+631
215,213,18/10/2023,16:00:28,020+631
216,213,18/10/2023,16:00:28,020+636
217,214,18/10/2023,16:00:28,020+641
218,214,18/10/2023,16:00:28,020+641
219,214,18/10/2023,16:00:28,020+646
220,214,18/10/2023,16:00:28,020+651
221,214,18/10/2023,16:00:28,020+651
222,214,18/10/2023,16:00:28,020+656
223,214,18/10/2023,16:00:28,020+661
224,214,18/10/2023,16:00:28,020+666
225,214,18/10/2023,16:00:28,020+666
226,214,18/10/2023,16:00:28,020+671
227,214,18/10/2023,16:00:28,020+676
228,214,18/10/2023,16:00:28,020+676
229,214,18/10/2023,16:00:28,020+681
230,214,18/10/2023,16:00:29,020+686
231,214,18/10/2023,16:00:29,020+686
232,214,18/10/2023,16:00:29,020+691
233,214,18/10/2023,16:00:29,020+696
234,214,18/10/2023,16:00:29,020+696
235,214,18/10/2023,16:00:29,020+701
236,214,18/10/2023,16:00:29,020+706
237,214,18/10/2023,16:00:29,020+711
238,214,18/10/2023,16:00:29,020+711
239,214,18/10/2023,16:00:29,020+716
240,214,18/10/2023,16:00:29,020+721
241,214,18/10/2023,16:00:29,020+721
242,214,18/10/2023,16:00:29,020+726
243,214,18/10/2023,16:00:29,020+731
244,214,18/10/2023,16:00:29,020+731
245,214,18/10/2023,16:00:29,020+736
246,215,18/10/2023,16:00:29,020+741
247,215,18/10/2023,16:00:29,020+741
248,215,18/10/2023,16:00:30,020+746
249,215,18/10/2023,16:00:30,020+751
250,215,18/10/2023,16:00:30,020+751
251,215,18/10/2023,16:00:30,020+756
252,215,18/10/2023,16:00:30,020+761
253,215,18/10/2023,16:00:30,020+766
254,215,18/10/2023,16:00:30,020+766
255,215,18/10/2023,16:00:30,020+771
256,215,18/10/2023,16:00:30,020+776
257,215,18/10/2023,16:00:30,020+776
258,215,18/10/2023,16:00:30,020+781
259,215,18/10/2023,16:00:30,020+786
260,215,18/10/2023,16:00:30,020+786
261,215,18/10/2023,16:00:30,020+791
