Frame,Speed
0,205
2,205
4,205
6,205
8,205
10,206
12,206
14,206
16,206
18,206
20,206
22,206
24,206
26,206
28,207
30,207
32,207
34,207
36,207
38,207
40,207
42,207
44,207
46,207
48,208
50,208
52,208
54,208
56,208
58,208
60,208
62,208
64,208
66,208
68,209
70,209
72,209
74,209
76,209
78,209
80,209
82,209
84,209
86,209
88,209
90,209
92,210
94,210
96,210
98,210
100,210
102,210
104,210
106,210
108,210
110,210
112,210
114,210
116,210
118,210
120,210
122,211
124,211
126,211
128,211
130,211
132,211
134,211
136,211
138,211
140,211
142,211
144,211
146,211
148,211
150,211
152,211
154,212
156,212
158,212
160,212
162,212
164,212
166,212
168,212
170,212
172,212
174,212
176,212
178,212
180,212
182,212
184,213
186,213
188,213
190,213
192,213
194,213
196,213
198,213
200,213
202,213
204,213
206,213
208,213
210,213
212,213
214,213
216,213
218,214
220,214
222,214
224,214
226,214
228,214
230,214
232,214
234,214
236,214
238,214
240,214
242,214
244,214
246,215
248,215
250,215
252,215
254,215
256,215
258,215
260,215
262,215
264,215
266,215
268,215
270,215
272,215
274,215
276,215
278,216
280,216
282,216
284,216
286,216
288,216
290,216
292,216
294,216
296,216
298,216
300,216
302,216
304,216
306,217
308,217
310,217
312,217
314,217
316,217
318,217
320,217
322,217
324,217
326,217
328,218
330,218
332,218
334,218
336,218
338,218
340,218
342,218
344,218
346,218
348,219
350,219
352,219
354,219
356,219
358,219
360,219
362,219
364,219
366,219
368,220
370,220
372,220
374,220
376,220
378,220
380,220
382,220
384,220
386,220
388,220
390,221
392,221
394,221
396,221
398,221
400,221
402,221
404,221
406,221
408,221
410,222
412,222
414,222
416,222
418,222
420,222
422,222
424,222
426,222
428,222
430,223
432,223
434,223
436,223
438,223
440,223
442,223
444,223
446,223
448,223
450,224
452,224
454,224
456,224
458,224
460,224
462,224
464,224
466,224
468,224
470,225
472,225
474,225
476,225
478,225
480,225
482,225
484,225
486,225
488,226
490,226
492,226
494,226
496,226
498,226
500,226
502,226
504,226
506,227
508,227
510,227
512,227
514,227
516,227
518,227
520,227
522,228
524,228
526,228
528,228
530,228
532,228
534,229
536,229
538,229
540,229
542,229
544,229
546,229
548,230
550,230
552,230
554,230
556,230
558,230
560,230
562,230
564,231
566,231
568,231
570,231
572,231
574,231
576,231
578,232
580,232
582,232
584,232
586,232
588,232
590,232
592,232
594,232
596,233
598,233
600,233
602,233
604,233
606,233
608,233
610,233
612,233
614,233
616,234
618,234
620,234
622,234
624,234
626,234
628,234
630,234
632,234
634,234
636,235
638,235
640,235
642,235
644,235
646,235
648,235
650,235
652,235
654,235
656,235
658,235
660,235
662,236
664,236
666,236
668,236
670,236
672,236
674,236
676,236
678,236
680,236
682,236
684,236
686,237
688,237
690,237
692,237
694,237
696,237
698,237
700,237
702,237
704,237
706,237
708,237
710,238
712,238
714,238
716,238
718,238
720,238
722,238
724,238
726,238
728,238
730,238
732,238
734,239
736,239
738,239
740,239
742,239
744,239
746,239
748,239
750,239
752,239
754,240
756,240
758,240
760,240
762,240
764,240
766,240
768,240
770,240
772,240
774,241
776,241
778,241
780,241
782,241
784,241
786,241
788,241
790,241
792,241
794,242
796,242
798,242
800,242
802,242
804,242
806,242
808,242
810,243
812,243
814,243
816,243
818,243
820,243
822,243
824,243
826,243
828,243
830,243
832,244
834,244
836,244
838,244
840,244
842,244
844,244
846,244
848,244
850,244
852,244
854,244
856,244
858,245
860,245
862,245
864,245
866,245
868,245
870,245
872,245
874,245
876,245
878,245
880,245
882,245
884,245
886,245
888,245
890,245
892,245
894,245
896,245
898,245
900,245
902,245
904,245
906,245
908,245
910,246
912,246
914,246
916,246
918,246
920,246
922,246
924,246
926,246
928,246
930,246
932,246
934,246
936,246
938,246
940,246
942,246
944,246
946,246
948,246
950,246
952,247
954,247
956,247
958,247
960,247
962,247
964,247
966,247
968,247
970,247
972,247
974,247
976,247
978,248
980,248
982,248
984,248
986,248
988,248
990,248
992,248
994,248
996,248
998,249
1000,249
1002,249
1004,249
1006,249
1008,249
1010,249
1012,249
1014,249
1016,250
1018,250
1020,250
1022,250
1024,250
1026,250
1028,250
1030,250
1032,250
1034,250
1036,251
1038,251
1040,251
1042,251
1044,251
1046,251
1048,251
1050,251
1052,251
1054,252
1056,252
1058,252
1060,252
1062,252
1064,252
1066,252
1068,252
1070,252
1072,253
1074,253
1076,253
1078,253
1080,253
1082,253
1084,253
1086,253
1088,253
1090,253
1092,254
1094,254
1096,254
1098,254
1100,254
1102,254
1104,254
1106,254
1108,254
1110,254
1112,254
1114,254
1116,255
1118,255
1120,255
1122,255
1124,255
1126,255
1128,255
1130,255
1132,255
1134,255
1136,255
1138,255
1140,255
1142,255
1144,255
1146,255
1148,255
1150,255
1152,255
1154,255
1156,255
1158,255
1160,255
1162,255
1164,255
1166,255
1168,255
1170,255
1172,255
1174,255
1176,255
1178,255
1180,255
1182,255
1184,255
1186,255
1188,255
1190,255
1192,255
1194,255
1196,255
1198,255
1200,255
1202,255
1204,255
1206,255
1208,254
1210,254
1212,254
1214,254
1216,254
1218,254
1220,254
1222,254
1224,254
1226,254
1228,254
1230,254
1232,254
1234,254
1236,254
1238,254
1240,254
1242,254
1244,254
1246,254
1248,254
1250,254
1252,254
